         106          77
           1          59
           2          38
           3          94
           4          24
           5          37
           6          57
           7          95
           8          58
           9          74
          10           3
          11          27
          12           5
          13          16
          14          62
          15          72
          16           6
          17         105
          18          31
          19           1
          20           2
          21          14
          22          71
          23          17
          24          15
          25          13
          26          18
          27          35
          28          19
          29          69
          30           9
          31          97
          32           4
          33           7
          34          99
          35           8
          36          96
          37          20
          38          51
          39          70
          40          25
          41          60
          42          93
          43          68
          44          56
          45          81
          46          11
          47          50
          48          82
          49         103
          50          98
          51          66
          52          80
          53          42
          54          23
          55          45
          56          88
          57          36
          58          52
          59          85
          60          48
          61         101
          62          91
          63          83
          64          40
          65          33
          66          76
          67          64
          68          44
          69          87
          70          54
          71          43
          72          78
          73          29
          74          39
          75          21
          76          65
          77          67
          78          32
          79          79
          80          46
          81          55
          82          41
          83          63
          84          84
          85          28
          86          86
          87          73
          88          22
          89          89
          90          90
          91          75
          92          92
          93          53
          94          10
          95          12
          96          77
          97          26
          98          47
          99          34
         100         100
         101          61
         102         102
         103          49
         104         104
         105          30
         106         106
