          72          53
           1          48
           2          16
           3          59
           4          42
           5          28
           6          40
           7          41
           8          39
           9          27
          10          58
          11          47
          12          38
          13          43
          14          37
          15          13
          16          14
          17          12
          18           9
          19          11
          20           7
          21           1
          22          10
          23           8
          24          15
          25           4
          26          22
          27           2
          28          55
          29          51
          30          49
          31          35
          32          45
          33          17
          34           3
          35          21
          36          36
          37          20
          38          67
          39          32
          40          70
          41          65
          42          24
          43          29
          44          62
          45          68
          46          53
          47          69
          48          31
          49          60
          50          23
          51          19
          52           5
          53          64
          54          54
          55          52
          56          56
          57          57
          58          26
          59          34
          60          30
          61          61
          62          44
          63          63
          64          46
          65          18
          66          66
          67          33
          68          50
          69          25
          70           6
          71          71
          72          72
