 
 ________________________________________
 
 i     Parity    J        energy       Tz
    1   -1    0   5.55856   1
 
12 6        0.70466
14 2       -0.02256
16 2       -0.01270
20 4       -0.02844
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   22   -1    1  15.50023   1
 
 -  p(h)^-1 -
 8 3        0.91568
10 3        0.31566
10 5       -0.09354
12 3       -0.05938
12 5       -0.16666
14 1        0.00738
16 1       -0.02958
20 3        0.14463
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   23   -1    1  15.98137   0
 
 -  p(h)^-1 -
 7 3        0.11402
 9 3        0.85902
 9 5        0.12787
11 3       -0.07774
11 5       -0.13174
13 1       -0.01383
15 1        0.00166
19 3        0.00372
 8 4        0.01221
10 4        0.36252
10 6        0.16668
12 4        0.04972
12 6        0.21699
14 2        0.01408
16 2        0.00095
20 4        0.00301
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   24   -1    1  16.26691  -1
 
 -  p(h)^-1 -
 7 4        0.11706
 9 4       -0.05467
 9 6        0.05455
11 4       -0.08350
11 6        0.98635
13 2        0.01988
15 2       -0.00409
19 4       -0.00767
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   25   -1    1  17.22521   0
 
 -  p(h)^-1 -
 7 3       -0.16051
 9 3       -0.38240
 9 5        0.06469
11 3       -0.03337
11 5       -0.04480
13 1       -0.01137
15 1       -0.00542
19 3       -0.02302
 8 4       -0.24003
10 4        0.86948
10 6        0.04509
12 4        0.05292
12 6        0.03493
14 2        0.00152
16 2       -0.00394
20 4       -0.01797
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   26   -1    1  18.17773   1
 
 -  p(h)^-1 -
 8 3       -0.07372
10 3        0.00621
10 5        0.00874
12 3       -0.99146
12 5       -0.09027
14 1       -0.02844
16 1        0.01494
20 3       -0.04777
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   27   -1    1  18.50499   0
 
 -  p(h)^-1 -
 7 3        0.66311
 9 3       -0.18236
 9 5        0.06184
11 3       -0.01013
11 5       -0.11981
13 1       -0.00021
15 1        0.02507
19 3        0.13537
 8 4        0.64439
10 4        0.22461
10 6       -0.05882
12 4       -0.04889
12 6       -0.09785
14 2       -0.00752
16 2        0.01947
20 4        0.09078
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   28   -1    1  20.20133  -1
 
 -  p(h)^-1 -
 7 4        0.25110
 9 4        0.96691
 9 6       -0.02474
11 4       -0.01491
11 6        0.02420
13 2       -0.00697
15 2       -0.00452
19 4        0.02336
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   29   -1    1  20.66594   0
 
 -  p(h)^-1 -
 7 3       -0.09798
 9 3       -0.02220
 9 5       -0.02056
11 3       -0.88382
11 5       -0.06288
13 1        0.01922
15 1       -0.01018
19 3       -0.04917
 8 4        0.04670
10 4       -0.02183
10 6       -0.01808
12 4       -0.44196
12 6       -0.05325
14 2        0.01732
16 2       -0.00677
20 4       -0.00206
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   30   -1    1  21.63859  -1
 
 -  p(h)^-1 -
 7 4        0.94058
 9 4       -0.24398
 9 6        0.07732
11 4       -0.06727
11 6       -0.13412
13 2        0.00686
15 2       -0.03028
19 4        0.16225
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   31   -1    1  22.52827   0
 
 -  p(h)^-1 -
 7 3        0.16993
 9 3        0.03802
 9 5        0.04237
11 3        0.38399
11 5       -0.00138
13 1        0.01147
15 1        0.00436
19 3        0.12454
 8 4       -0.24868
10 4        0.04176
10 6        0.05432
12 4       -0.84869
12 6       -0.03080
14 2        0.00218
16 2       -0.01312
20 4       -0.12976
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   32   -1    1  23.89101  -1
 
 -  p(h)^-1 -
 7 4       -0.07102
 9 4        0.00592
 9 6       -0.00420
11 4       -0.99306
11 6       -0.07486
13 2       -0.02635
15 2        0.01362
19 4       -0.04736
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   33   -1    1  25.23068   1
 
 -  p(h)^-1 -
 8 3       -0.14326
10 3       -0.01458
10 5        0.02676
12 3       -0.03754
12 5        0.02503
14 1       -0.01047
16 1        0.07434
20 3        0.98533
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   34   -1    1  26.29710   0
 
 -  p(h)^-1 -
 7 3        0.00284
 9 3        0.01399
 9 5        0.03107
11 3        0.12969
11 5        0.01968
13 1       -0.04483
15 1        0.02444
19 3       -0.88177
 8 4        0.10169
10 4        0.03365
10 6        0.01503
12 4       -0.15534
12 6       -0.05064
14 2        0.03773
16 2        0.01037
20 4        0.40196
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   35   -1    1  28.18278   0
 
 -  p(h)^-1 -
 7 3       -0.11240
 9 3        0.01568
 9 5       -0.00869
11 3        0.01431
11 5        0.02719
13 1       -0.01687
15 1       -0.05295
19 3        0.41158
 8 4       -0.08271
10 4       -0.00318
10 6        0.02665
12 4       -0.06616
12 6        0.00684
14 2        0.02528
16 2       -0.05017
20 4        0.89358
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   36   -1    1  30.86891  -1
 
 -  p(h)^-1 -
 7 4       -0.15934
 9 4        0.01603
 9 6       -0.02672
11 4       -0.03588
11 6        0.02643
13 2       -0.01076
15 2        0.07829
19 4        0.98255
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   37   -1    1  37.46664   1
 
 -  p(h)^-1 -
 8 3       -0.02421
10 3       -0.01129
10 5       -0.00017
12 3       -0.02981
12 5       -0.02002
14 1        0.94738
16 1       -0.31559
20 3        0.02957
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   38   -1    1  38.02872   0
 
 -  p(h)^-1 -
 7 3       -0.02503
 9 3       -0.01032
 9 5        0.00866
11 3        0.00788
11 5       -0.00398
13 1       -0.71229
15 1       -0.48174
19 3        0.02916
 8 4        0.03827
10 4       -0.01014
10 6        0.00626
12 4       -0.01640
12 6       -0.00582
14 2        0.40101
16 2        0.30591
20 4       -0.05033
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   39   -1    1  38.10629   1
 
 -  p(h)^-1 -
 8 3        0.03603
10 3       -0.00001
10 5       -0.00737
12 3        0.00607
12 5       -0.00770
14 1        0.31780
16 1        0.94536
20 3       -0.06208
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   40   -1    1  39.87443   0
 
 -  p(h)^-1 -
 7 3       -0.02309
 9 3        0.00455
 9 5       -0.01077
11 3       -0.02176
11 5       -0.00594
13 1       -0.62405
15 1        0.70646
19 3        0.04322
 8 4       -0.02150
10 4       -0.00822
10 6       -0.00713
12 4       -0.01212
12 6       -0.01355
14 2       -0.31835
16 2        0.07640
20 4        0.01832
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   41   -1    1  40.80006   0
 
 -  p(h)^-1 -
 7 3        0.02214
 9 3        0.00670
 9 5        0.00710
11 3       -0.00696
11 5       -0.01225
13 1       -0.23224
15 1       -0.50518
19 3       -0.04160
 8 4        0.00513
10 4        0.00015
10 6       -0.00147
12 4       -0.00626
12 6       -0.00985
14 2       -0.75512
16 2       -0.34333
20 4       -0.00972
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   42   -1    1  41.59441   0
 
 -  p(h)^-1 -
 7 3       -0.01297
 9 3        0.00476
 9 5        0.01091
11 3       -0.00211
11 5       -0.00593
13 1        0.21108
15 1       -0.09393
19 3        0.00379
 8 4       -0.02238
10 4        0.00026
10 6        0.01663
12 4       -0.01510
12 6        0.00445
14 2       -0.40446
16 2        0.88254
20 4        0.05255
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   43   -1    1  43.21383  -1
 
 -  p(h)^-1 -
 7 4       -0.02721
 9 4        0.01104
 9 6        0.00015
11 4       -0.02805
11 6       -0.01841
13 2        0.91939
15 2       -0.38914
19 4        0.03595
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   44   -1    1  43.72028  -1
 
 -  p(h)^-1 -
 7 4        0.03571
 9 4       -0.00019
 9 6        0.00764
11 4        0.00326
11 6       -0.00897
13 2        0.39164
15 2        0.91722
19 4       -0.06243
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   45   -1    2   6.36310   1
 
 -  p(h)^-1 -
 8 3       -0.12454
 8 5        0.98715
10 3       -0.01354
12 3       -0.03733
12 5       -0.06075
16 1       -0.01762
20 3        0.02278
20 5        0.06268
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   46   -1    2   8.59442   0
 
